timestamp,latitude,longitude,no2_ugm3,pm10_ugm3,pm2_5_ugm3,o3_ugm3,temperature_degC,humidity_percent,is_anomaly,noise,wind_speed_ms,rain_mm,solar_radiation_wm2
1/1/2021 12:00,49.12716318,9.2144832,34.44,24.63,14.22,53.12,9.68,69.69,0,51.3,0,1.68,610.72
1/2/2021 12:00,49.12716318,9.2144832,34.51,24.67,14.25,59.16,10.23,73.41,0,56.34,2.99,0.2,636.84
1/3/2021 12:00,49.12716318,9.2144832,31.45,22.63,12.72,68.65,12.12,65.84,0,54.72,0.94,0,664.52
1/4/2021 12:00,49.12716318,9.2144832,29.9,21.6,11.95,60.92,11.18,65.14,0,40,3.33,0,600.77
1/5/2021 12:00,49.12716318,9.2144832,35.7,25.47,14.85,60.02,14.97,62.27,0,45.62,0.65,0,666.09
1/6/2021 12:00,49.12716318,9.2144832,31.99,22.99,12.99,70.89,9.51,78.15,0,49.98,2.46,0,654.69
1/7/2021 12:00,49.12716318,9.2144832,33.64,24.1,13.82,63.73,13.87,72.13,0,58.75,3.64,0,624.26
1/8/2021 12:00,49.12716318,9.2144832,33.13,23.75,13.56,62.56,11.66,75,0,45.91,1.29,0,588.52
1/9/2021 12:00,49.12716318,9.2144832,34.63,24.76,14.32,64.84,14.48,60.32,0,65.54,1.55,0,684.94
1/10/2021 12:00,49.12716318,9.2144832,32.86,19.05,13.43,68.56,9.54,72.75,1,54.5,0.31,0,680.46
1/11/2021 12:00,49.12716318,9.2144832,33.26,23.84,13.63,58.83,14.44,63.68,0,45.06,4.77,0.05,662.06
1/12/2021 12:00,49.12716318,9.2144832,33.13,23.75,13.57,68.51,12.25,71.29,0,59.09,5.1,1.28,657.61
1/13/2021 12:00,49.12716318,9.2144832,33.2,23.8,13.6,59.04,16.4,69.78,0,59.62,1.68,0,681.08
1/14/2021 12:00,49.12716318,9.2144832,35.77,25.51,14.88,59.43,11.31,72.95,0,56.14,3.24,0,633.3
1/15/2021 12:00,49.12716318,9.2144832,33.92,24.28,13.96,56.37,10.5,67.83,0,61.05,4.05,0,693.22
1/16/2021 12:00,49.12716318,9.2144832,29.05,21.03,11.53,68.88,18.26,64.43,0,65.87,3,0,698.63
1/17/2021 12:00,49.12716318,9.2144832,33.57,24.05,13.79,56.65,14.22,66.51,0,60.37,0.3,0,725.48
1/18/2021 12:00,49.12716318,9.2144832,33.15,23.77,13.58,73.42,15.83,71.44,0,59.81,6.55,0,729.15
1/19/2021 12:00,49.12716318,9.2144832,32.4,23.27,13.2,69.73,15.51,71.42,0,59.53,5.04,0,735.63
1/20/2021 12:00,49.12716318,9.2144832,31.03,22.36,12.52,65.32,16.08,70.4,0,59.18,0,0,712.33
1/21/2021 12:00,49.12716318,9.2144832,33.57,24.05,13.78,64.26,13.39,66.52,0,48.99,3.73,0,655.78
1/22/2021 12:00,49.12716318,9.2144832,35.55,25.37,14.78,58.14,14.55,73.36,0,59.68,0,0,740.36
1/23/2021 12:00,49.12716318,9.2144832,33.9,24.26,13.95,65.97,17.21,65.64,0,51.79,1.67,0,721.81
1/24/2021 12:00,49.12716318,9.2144832,37.37,26.58,15.68,66.85,14.39,68.8,0,69.41,2.22,0,713.29
1/25/2021 12:00,49.12716318,9.2144832,36.71,26.14,15.35,72.29,15.33,58.61,0,55.44,0,0,732.55
1/26/2021 12:00,49.12716318,9.2144832,39.85,28.23,16.93,53.18,17.46,58.95,0,53.18,2.31,0,715.66
1/27/2021 12:00,49.12716318,9.2144832,34.06,24.37,14.03,69.82,15.76,65.02,0,59.73,2.26,0,677.75
1/28/2021 12:00,49.12716318,9.2144832,29.65,21.43,11.83,70.25,15.27,65.58,0,59.24,2.55,0,710.23
1/29/2021 12:00,49.12716318,9.2144832,37.26,59.33,15.63,57.79,15.03,74.52,1,61.98,1.53,0,765.21
1/30/2021 12:00,49.12716318,9.2144832,32.64,23.43,13.32,78.11,13.72,64.62,0,43.41,3.41,0.37,782.06
1/31/2021 12:00,49.12716318,9.2144832,33.48,23.99,13.74,63.45,17.68,64.46,0,50.19,3.62,0,750.18
2/1/2021 12:00,49.12716318,9.2144832,34.04,24.36,14.02,59.34,15.89,72.02,0,51.14,,0,721.87
2/2/2021 12:00,49.12716318,9.2144832,35.73,25.48,14.86,70.59,15.56,78.23,0,53.44,1.38,0,814.11
2/3/2021 12:00,49.12716318,9.2144832,37.64,26.76,15.82,67.27,14.28,63.58,0,52.94,2.65,0,803.29
2/4/2021 12:00,49.12716318,9.2144832,31.52,22.68,12.76,62.88,17.49,60.21,0,64.91,0.36,0,781.19
2/5/2021 12:00,49.12716318,9.2144832,37.5,26.67,15.75,66.74,13.61,75.83,0,49.72,1.41,0,801.71
2/6/2021 12:00,49.12716318,9.2144832,37.04,26.36,15.52,78.5,14.93,68.41,0,58.14,2.32,0.08,747.4
2/7/2021 12:00,49.12716318,9.2144832,37.53,26.69,15.77,71.68,14.98,69.27,0,58.51,0,2.06,821.8
