Location,parameter,value,unit,parameter,value ,unit ,parameter,value,unit,datetimeUtc,timezone
Heilbronn,co,400,µg/m3,no,5.2,µg/m3,no2,27.55,µg/m3,2021-10-02T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,11,µg/m3,no2,23.69,µg/m3,2021-10-02T01:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,1.9,µg/m3,no2,24.87,µg/m3,2021-10-02T02:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,2.9,µg/m3,no2,15.07,µg/m3,2021-10-03T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,14.5,µg/m3,no2,18.57,µg/m3,2021-10-04T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,33.3,µg/m3,no2,20.97,µg/m3,2021-10-05T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,74.3,µg/m3,no2,8.05,µg/m3,2021-10-05T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,83,µg/m3,no2,12.89,µg/m3,2021-10-06T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,57.3,µg/m3,no2,16.7,µg/m3,2021-10-07T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,55.5,µg/m3,no2,17.89,µg/m3,2021-10-08T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,42.6,µg/m3,no2,32.24,µg/m3,2021-10-09T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,55.2,µg/m3,no2,15.52,µg/m3,2021-10-10T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,37.3,µg/m3,no2,15.26,µg/m3,2021-10-11T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,29.4,µg/m3,no2,19.73,µg/m3,2021-10-12T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,32.9,µg/m3,no2,13.06,µg/m3,2021-10-13T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,25.6,µg/m3,no2,15.37,µg/m3,2021-10-14T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,26.9,µg/m3,no2,20.45,µg/m3,2021-10-15T00:00:00Z,Europe/Berlin
Heilbronn,co,700,µg/m3,no,4.7,µg/m3,no2,21.55,µg/m3,2021-10-16T00:00:00Z,Europe/Berlin
Heilbronn,co,600,µg/m3,no,2.4,µg/m3,no2,15.28,µg/m3,2021-10-17T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,2.9,µg/m3,no2,18.18,µg/m3,2021-10-18T00:00:00Z,Europe/Berlin
Heilbronn,co,600,µg/m3,no,19.6,µg/m3,no2,14.95,µg/m3,2021-10-19T00:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,20.3,µg/m3,no2,16.46,µg/m3,2021-10-19T01:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,67.5,µg/m3,no2,16.57,µg/m3,2021-10-19T02:00:00Z,Europe/Berlin
Heilbronn,co,700,µg/m3,no,47.2,µg/m3,no2,17.97,µg/m3,2021-10-20T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,26.8,µg/m3,no2,20.55,µg/m3,2021-10-22T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,30,µg/m3,no2,34.21,µg/m3,2021-10-23T00:00:00Z,Europe/Berlin
Heilbronn,co,700,µg/m3,no,26.8,µg/m3,no2,16.99,µg/m3,2021-10-24T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,23.1,µg/m3,no2,25.41,µg/m3,2021-10-25T00:00:00Z,Europe/Berlin
Heilbronn,co,600,µg/m3,no,26,µg/m3,no2,24.74,µg/m3,2021-10-26T00:00:00Z,Europe/Berlin
Heilbronn,co,700,µg/m3,no,24.9,µg/m3,no2,15.46,µg/m3,2021-10-26T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,21.5,µg/m3,no2,18.06,µg/m3,2021-10-27T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,30.4,µg/m3,no2,16.58,µg/m3,2021-10-28T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,9.8,µg/m3,no2,19.8,µg/m3,2021-10-29T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,2.4,µg/m3,no2,25.5,µg/m3,2021-10-30T01:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,2.1,µg/m3,no2,32.56,µg/m3,2021-10-31T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,1.8,µg/m3,no2,19.65,µg/m3,2021-11-01T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,2,µg/m3,no2,17.78,µg/m3,2021-11-02T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.9,µg/m3,no2,17.53,µg/m3,2021-11-02T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,7.8,µg/m3,no2,30.96,µg/m3,2021-11-03T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,8.8,µg/m3,no2,16.05,µg/m3,2021-11-04T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,11.8,µg/m3,no2,25.89,µg/m3,2021-11-05T00:00:00Z,Europe/Berlin
Heilbronn,co,700,µg/m3,no,12.7,µg/m3,no2,28.38,µg/m3,2021-11-06T00:00:00Z,Europe/Berlin
Heilbronn,co,800,µg/m3,no,16.1,µg/m3,no2,22.86,µg/m3,2021-11-06T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,23,µg/m3,no2,23.69,µg/m3,2021-11-08T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,17.6,µg/m3,no2,22.31,µg/m3,2021-11-09T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,19,µg/m3,no2,25.37,µg/m3,2021-11-09T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,21.6,µg/m3,no2,20.77,µg/m3,2021-11-10T00:00:00Z,Europe/Berlin
Heilbronn,co,800,µg/m3,no,15.5,µg/m3,no2,24.38,µg/m3,2021-11-11T00:00:00Z,Europe/Berlin
